pos_x, pos_y, theta (rad)
-0.00305653, 0.00497532, 0.00166667
-0.00610518, 0.00995541, 0.00333333
-0.00914526, 0.0149412, 0.005
-0.012177, 0.0199318, 0.00666667
-0.0152006, 0.0249271, 0.00833333
-0.0182157, 0.0299273, 0.01
-0.0212226, 0.0349331, 0.0116667
-0.0242209, 0.0399437, 0.0133333
-0.0272112, 0.0449591, 0.015
-0.0301926, 0.0499802, 0.0166667
-0.0331662, 0.0550051, 0.0183333
-0.0361311, 0.0600357, 0.02
-0.0390878, 0.0650711, 0.0216667
-0.0420361, 0.0701113, 0.0233333
-0.0449758, 0.0751567, 0.025
-0.0479071, 0.0802069, 0.0266667
-0.0508301, 0.0852618, 0.0283333
-0.0537448, 0.0903215, 0.03
-0.0566506, 0.0953865, 0.0316667
-0.0595484, 0.100456, 0.0333333
-0.0624378, 0.10553, 0.035
-0.0653183, 0.11061, 0.0366667
-0.0681908, 0.115694, 0.0383333
-0.0710545, 0.120782, 0.04
-0.0739098, 0.125876, 0.0416667
-0.0767567, 0.130974, 0.0433333
-0.0795949, 0.136077, 0.045
-0.0824246, 0.141185, 0.0466667
-0.0852458, 0.146297, 0.0483333
-0.0880587, 0.151414, 0.05
-0.090863, 0.156536, 0.0516667
-0.0936587, 0.161663, 0.0533333
-0.0964458, 0.166794, 0.055
-0.0992243, 0.171929, 0.0566666
-0.101994, 0.17707, 0.0583333
-0.104756, 0.182215, 0.06
-0.107509, 0.187365, 0.0616666
-0.110253, 0.192519, 0.0633333
-0.112989, 0.197678, 0.065
-0.115716, 0.202841, 0.0666666
-0.118434, 0.208009, 0.0683333
-0.121144, 0.213181, 0.07
-0.123845, 0.218358, 0.0716666
-0.126538, 0.223539, 0.0733333
-0.129222, 0.228725, 0.075
-0.131897, 0.233915, 0.0766666
-0.134564, 0.23911, 0.0783333
-0.137222, 0.244309, 0.08
-0.139871, 0.249513, 0.0816666
-0.142512, 0.254721, 0.0833333
-0.145144, 0.259933, 0.085
-0.147767, 0.26515, 0.0866666
-0.150382, 0.270371, 0.0883333
-0.152988, 0.275597, 0.09
-0.155585, 0.280827, 0.0916666
-0.158173, 0.286061, 0.0933333
-0.160753, 0.291299, 0.0949999
-0.163324, 0.296542, 0.0966666
-0.165886, 0.301789, 0.0983333
-0.16844, 0.30704, 0.0999999
-0.170985, 0.312296, 0.101667
-0.17352, 0.317556, 0.103333
-0.176048, 0.32282, 0.105
-0.178566, 0.328088, 0.106667
-0.181076, 0.333361, 0.108333
-0.183577, 0.338637, 0.11
-0.186069, 0.343918, 0.111667
-0.188552, 0.349203, 0.113333
-0.191026, 0.354492, 0.115
-0.193492, 0.359785, 0.116667
-0.195949, 0.365082, 0.118333
-0.198397, 0.370383, 0.12
-0.200836, 0.375689, 0.121667
-0.203266, 0.380998, 0.123333
-0.205688, 0.386312, 0.125
-0.2081, 0.391629, 0.126667
-0.210504, 0.396951, 0.128333
-0.212899, 0.402277, 0.13
-0.215285, 0.407606, 0.131667
-0.217662, 0.41294, 0.133333
-0.22003, 0.418277, 0.135
-0.222389, 0.423618, 0.136667
-0.22474, 0.428964, 0.138333
-0.227081, 0.434313, 0.14
-0.229414, 0.439666, 0.141667
-0.231737, 0.445023, 0.143333
-0.234052, 0.450384, 0.145
-0.236358, 0.455749, 0.146667
-0.238655, 0.461117, 0.148333
-0.240942, 0.46649, 0.15
-0.243221, 0.471866, 0.151667
-0.245491, 0.477245, 0.153333
-0.247752, 0.482629, 0.155
-0.250004, 0.488017, 0.156667
-0.252247, 0.493408, 0.158333
-0.254481, 0.498803, 0.16
-0.256706, 0.504202, 0.161667
-0.258922, 0.509604, 0.163333
-0.261129, 0.51501, 0.165
-0.263327, 0.52042, 0.166667
-0.265516, 0.525834, 0.168333
-0.267696, 0.53125, 0.17
-0.269867, 0.536671, 0.171667
-0.272029, 0.542096, 0.173333
-0.274182, 0.547523, 0.175
-0.276325, 0.552955, 0.176667
-0.27846, 0.55839, 0.178333
-0.280586, 0.563828, 0.18
-0.282702, 0.56927, 0.181667
-0.28481, 0.574716, 0.183333
-0.286908, 0.580165, 0.185
-0.288998, 0.585618, 0.186667
-0.291078, 0.591074, 0.188333
-0.293149, 0.596534, 0.19
-0.295212, 0.601996, 0.191667
-0.297265, 0.607463, 0.193333
-0.299308, 0.612933, 0.195
-0.301343, 0.618406, 0.196667
-0.303369, 0.623883, 0.198333
-0.305385, 0.629363, 0.2
-0.307392, 0.634846, 0.201667
-0.309391, 0.640333, 0.203333
-0.31138, 0.645823, 0.205
-0.31336, 0.651317, 0.206667
-0.31533, 0.656813, 0.208333
-0.317292, 0.662313, 0.21
-0.319244, 0.667816, 0.211667
-0.321187, 0.673322, 0.213333
-0.323122, 0.678832, 0.215
-0.325047, 0.684344, 0.216667
-0.326962, 0.68986, 0.218333
-0.328869, 0.69538, 0.22
-0.330766, 0.700902, 0.221666
-0.332654, 0.706428, 0.223333
-0.334533, 0.711957, 0.225
-0.336402, 0.717488, 0.226666
-0.338263, 0.723023, 0.228333
-0.340114, 0.728561, 0.23
-0.341956, 0.734102, 0.231666
-0.343789, 0.739647, 0.233333
-0.345612, 0.745193, 0.235
-0.347427, 0.750744, 0.236666
-0.349231, 0.756297, 0.238333
-0.351027, 0.761853, 0.24
-0.352814, 0.767413, 0.241666
-0.354591, 0.772975, 0.243333
-0.356359, 0.778541, 0.245
-0.358118, 0.784108, 0.246666
-0.359867, 0.78968, 0.248333
-0.361607, 0.795254, 0.25
-0.363338, 0.80083, 0.251666
-0.365059, 0.80641, 0.253333
-0.366771, 0.811993, 0.255
-0.368474, 0.817578, 0.256666
-0.370168, 0.823166, 0.258333
-0.371852, 0.828757, 0.26
-0.373527, 0.834351, 0.261666
-0.375193, 0.839948, 0.263333
-0.376849, 0.845547, 0.265
-0.378496, 0.85115, 0.266666
-0.380134, 0.856754, 0.268333
-0.381762, 0.862362, 0.27
-0.383381, 0.867972, 0.271666
-0.38499, 0.873585, 0.273333
-0.386591, 0.879201, 0.275
-0.388181, 0.884819, 0.276666
-0.389763, 0.89044, 0.278333
-0.391335, 0.896064, 0.28
-0.392898, 0.90169, 0.281666
-0.394451, 0.907319, 0.283333
-0.395995, 0.912951, 0.285
-0.39753, 0.918584, 0.286666
-0.399055, 0.924221, 0.288333
-0.400571, 0.92986, 0.29
-0.402077, 0.935501, 0.291666
-0.403574, 0.941146, 0.293333
-0.405061, 0.946792, 0.295
-0.40654, 0.952441, 0.296666
