pos_x, pos_y, theta (rad)
4.29153e-06, 0.00754261, 0.00115409
1.7643e-05, 0.0150852, 0.00230819
3.95775e-05, 0.0226278, 0.00346228
6.96182e-05, 0.0301695, 0.00461638
0.000108719, 0.0377121, 0.00577047
0.000156403, 0.0452547, 0.00692457
0.000213146, 0.0527973, 0.00807866
0.000278473, 0.060339, 0.00923276
0.000352383, 0.0678816, 0.0103869
0.000435352, 0.0754232, 0.0115409
0.000526428, 0.0829649, 0.012695
0.000626564, 0.0905075, 0.0138491
0.000735283, 0.0980492, 0.0150032
0.000853062, 0.105591, 0.0161573
0.000979424, 0.113132, 0.0173114
0.00111389, 0.120673, 0.0184655
0.0012579, 0.128215, 0.0196196
0.00141001, 0.135756, 0.0207737
0.00157118, 0.143296, 0.0219278
0.00174093, 0.150837, 0.0230819
0.00191927, 0.158378, 0.024236
0.00210619, 0.165917, 0.0253901
0.00230217, 0.173457, 0.0265442
0.00250673, 0.180997, 0.0276983
0.00272036, 0.188537, 0.0288524
0.00294161, 0.196075, 0.0300065
0.00317287, 0.203615, 0.0311606
0.00341177, 0.211154, 0.0323147
0.0036602, 0.218692, 0.0334687
0.00391674, 0.22623, 0.0346228
0.00418234, 0.233768, 0.0357769
0.00445652, 0.241305, 0.036931
0.00473928, 0.248842, 0.0380851
0.00503063, 0.256379, 0.0392392
0.00533104, 0.263916, 0.0403933
0.00563955, 0.271452, 0.0415474
0.0059576, 0.278988, 0.0427015
0.00628376, 0.286524, 0.0438556
0.0066185, 0.294059, 0.0450097
0.00696278, 0.301593, 0.0461638
0.00731468, 0.309128, 0.0473179
0.00767612, 0.316661, 0.048472
0.00804615, 0.324195, 0.0496261
0.00842428, 0.331728, 0.0507802
0.00881147, 0.33926, 0.0519343
0.00920773, 0.346792, 0.0530884
0.00961208, 0.354324, 0.0542425
0.010025, 0.361856, 0.0553966
0.010447, 0.369386, 0.0565506
0.0108781, 0.376916, 0.0577047
0.0113173, 0.384446, 0.0588588
0.0117655, 0.391975, 0.0600129
0.0122218, 0.399504, 0.061167
0.0126872, 0.407032, 0.0623211
0.0131617, 0.414559, 0.0634752
0.0136447, 0.422087, 0.0646293
0.0141358, 0.429613, 0.0657834
0.014636, 0.437139, 0.0669375
0.0151448, 0.444664, 0.0680916
0.0156622, 0.452189, 0.0692457
0.0161886, 0.459713, 0.0703998
0.0167236, 0.467237, 0.0715539
0.0172668, 0.474759, 0.072708
0.0178194, 0.482282, 0.0738621
0.0183802, 0.489803, 0.0750162
0.0189495, 0.497324, 0.0761703
0.0195279, 0.504845, 0.0773244
0.0201154, 0.512364, 0.0784784
0.0207109, 0.519883, 0.0796325
0.0213151, 0.527402, 0.0807866
0.0219283, 0.534919, 0.0819407
0.0225496, 0.542436, 0.0830948
0.02318, 0.549953, 0.0842489
0.0238194, 0.557467, 0.085403
0.024467, 0.564982, 0.0865571
0.0251231, 0.572496, 0.0877112
0.0257883, 0.580009, 0.0888653
0.0264621, 0.587522, 0.0900194
0.0271444, 0.595033, 0.0911735
0.0278354, 0.602544, 0.0923276
0.0285354, 0.610054, 0.0934817
0.0292439, 0.617563, 0.0946358
0.0299606, 0.625072, 0.0957899
0.0306864, 0.632579, 0.096944
0.0314207, 0.640085, 0.0980981
0.0321636, 0.647592, 0.0992522
0.0329156, 0.655096, 0.100406
0.0336761, 0.662601, 0.10156
0.0344448, 0.670104, 0.102714
0.035223, 0.677606, 0.103869
