scene_number,path,rotationSpeed,stop_angle,pause_time,volume_start,volume_poured,volume_received,spilled_volume,real_poured_volume,real_received_volume,real_spilled_volume
401,../../output/MediumBottle/Medium_200_200_30,0.03,30.0,0.2,199.9325,0.005,0.0025,0.0025,0.0,0.0,0.0
779,../../output/MediumBottle/Medium_310_1399_70,0.03,70.0,1.4,309.89,161.884995,147.092499,14.7925,0.0,0.0,0.0
65,../../output/MediumBottle/Medium_150_1799_30,0.03,30.0,1.8,149.955,0.0075,0.0,0.0075,0.0,0.0,0.0
1164,../../output/MediumBottle/Medium_360_1000_74,0.03,74.0,1.0,359.8825,235.677505,212.742493,22.934999,0.0,0.0,0.0
1159,../../output/MediumBottle/Medium_110_1000_32,0.03,32.0,1.0,109.9775,0.0025,0.0,0.0025,0.0,0.0,0.0
257,../../output/MediumBottle/Medium_60_1000_28,0.03,28.0,1.0,59.99,0.0025,0.0,0.0025,0.0,0.0,0.0
927,../../output/MediumBottle/Medium_100_200_72,0.03,72.0,0.2,99.9625,2.235,2.2075,0.0275,0.0,0.0,0.0
201,../../output/MediumBottle/Medium_170_1000_62,0.03,62.0,1.0,169.945,4.28,4.2475,0.0325,0.0,0.0,0.0
876,../../output/MediumBottle/Medium_320_1799_74,0.03,74.0,1.8,319.8825,199.695007,182.6875,17.0075,0.0,0.0,0.0
757,../../output/MediumBottle/Medium_310_1000_46,0.03,46.0,1.0,309.89,10.3975,10.3675,0.03,0.0,0.0,0.0
839,../../output/MediumBottle/Medium_320_1000_54,0.03,54.0,1.0,319.8825,59.965,59.462502,0.5025,0.0,0.0,0.0
1129,../../output/MediumBottle/Medium_360_200_62,0.03,62.0,0.2,359.8825,148.532501,130.517502,18.014999,0.0,0.0,0.0
1308,../../output/MediumBottle/Medium_120_600_42,0.03,42.0,0.6,119.965,0.0025,0.0,0.0025,0.0,0.0,0.0
514,../../output/MediumBottle/Medium_70_1799_38,0.03,38.0,1.8,69.99,0.0025,0.0,0.0025,0.0,0.0,0.0
1489,../../output/MediumBottle/Medium_130_600_44,0.03,44.0,0.6,129.9625,0.005,0.005,0.0,0.0,0.0,0.0
704,../../output/MediumBottle/Medium_300_1399_90,0.03,90.0,1.4,299.875,270.727509,256.667511,14.06,0.0,0.0,0.0
110,../../output/MediumBottle/Medium_230_600_82,0.03,82.0,0.6,229.9175,155.365005,144.837494,10.5275,0.0,0.0,0.0
1699,../../output/MediumBottle/Medium_140_1000_32,0.03,32.0,1.0,139.9675,0.0025,0.0025,0.0,0.0,0.0,0.0
