scene_number,path,rotationSpeed,stop_angle,pause_time,volume_start,volume_poured,volume_received,spilled_volume
1,../../output/MediumBottle/Medium_50_1000_20,0.03,20.0,1.0,49.995,0.0075,0.0025,0.005
2,../../output/MediumBottle/Medium_50_1000_22,0.03,22.0,1.0,49.995,0.0025,0.0,0.0025
3,../../output/MediumBottle/Medium_50_1000_24,0.03,24.0,1.0,49.995,0.005,0.0,0.005
4,../../output/MediumBottle/Medium_50_1000_26,0.03,26.0,1.0,49.995,0.0075,0.0025,0.005
5,../../output/MediumBottle/Medium_50_1000_28,0.03,28.0,1.0,49.995,0.0,0.0,0.0
6,../../output/MediumBottle/Medium_50_1000_30,0.03,30.0,1.0,49.995,0.0,0.0,0.0
7,../../output/MediumBottle/Medium_50_1000_32,0.03,32.0,1.0,49.995,0.0,0.0,0.0
8,../../output/MediumBottle/Medium_50_1000_34,0.03,34.0,1.0,49.995,0.0,0.0,0.0
9,../../output/MediumBottle/Medium_50_1000_36,0.03,36.0,1.0,49.995,0.0,0.0,0.0
10,../../output/MediumBottle/Medium_50_1000_38,0.03,38.0,1.0,49.995,0.0025,0.0025,0.0
11,../../output/MediumBottle/Medium_50_1000_40,0.03,40.0,1.0,49.995,0.0,0.0,0.0
12,../../output/MediumBottle/Medium_50_1000_42,0.03,42.0,1.0,49.995,0.0025,0.0,0.0025
13,../../output/MediumBottle/Medium_50_1000_44,0.03,44.0,1.0,49.995,0.0025,0.0025,0.0
14,../../output/MediumBottle/Medium_50_1000_46,0.03,46.0,1.0,49.995,0.0025,0.0,0.0025
15,../../output/MediumBottle/Medium_50_1000_48,0.03,48.0,1.0,49.995,0.0025,0.0,0.0025
16,../../output/MediumBottle/Medium_50_1000_50,0.03,50.0,1.0,49.995,0.0075,0.0,0.0075
17,../../output/MediumBottle/Medium_50_1000_52,0.03,52.0,1.0,49.995,0.0025,0.0,0.0025
18,../../output/MediumBottle/Medium_50_1000_54,0.03,54.0,1.0,49.995,0.005,0.0025,0.0025
19,../../output/MediumBottle/Medium_50_1000_56,0.03,56.0,1.0,49.995,0.0175,0.0,0.0175
20,../../output/MediumBottle/Medium_50_1000_58,0.03,58.0,1.0,49.995,0.0175,0.0,0.0175
21,../../output/MediumBottle/Medium_50_1000_60,0.03,60.0,1.0,49.995,0.02,0.0025,0.0175
22,../../output/MediumBottle/Medium_50_1000_62,0.03,62.0,1.0,49.995,0.07,0.035,0.035
23,../../output/MediumBottle/Medium_50_1000_64,0.03,64.0,1.0,49.995,0.2375,0.215,0.0225
24,../../output/MediumBottle/Medium_50_1000_66,0.03,66.0,1.0,49.995,0.7625,0.7175,0.045
25,../../output/MediumBottle/Medium_50_1000_68,0.03,68.0,1.0,49.995,1.465,1.4375,0.0275
26,../../output/MediumBottle/Medium_50_1000_70,0.03,70.0,1.0,49.995,2.29,2.26,0.03
27,../../output/MediumBottle/Medium_50_1000_72,0.03,72.0,1.0,49.995,3.0175,2.9775,0.04
28,../../output/MediumBottle/Medium_50_1000_74,0.03,74.0,1.0,49.995,3.5225,3.465,0.0575
29,../../output/MediumBottle/Medium_50_1000_76,0.03,76.0,1.0,49.995,3.9575,3.8975,0.06
30,../../output/MediumBottle/Medium_50_1000_78,0.03,78.0,1.0,49.995,4.385,4.3275,0.0575
31,../../output/MediumBottle/Medium_50_1000_80,0.03,80.0,1.0,49.995,5.59,5.525,0.065
32,../../output/MediumBottle/Medium_50_1000_82,0.03,82.0,1.0,49.995,8.0875,8.025,0.0625
33,../../output/MediumBottle/Medium_50_1000_84,0.03,84.0,1.0,49.995,12.0875,12.025,0.0625
34,../../output/MediumBottle/Medium_50_1000_86,0.03,86.0,1.0,49.995,17.03,16.9575,0.0725
35,../../output/MediumBottle/Medium_50_1000_88,0.03,88.0,1.0,49.995,21.995,21.93,0.065
36,../../output/MediumBottle/Medium_50_1000_90,0.03,90.0,1.0,49.995,26.83,26.74,0.09
37,../../output/MediumBottle/Medium_50_1399_20,0.03,20.0,1.4,49.995,0.005,0.0025,0.0025
38,../../output/MediumBottle/Medium_50_1399_22,0.03,22.0,1.4,49.995,0.0075,0.0025,0.005
39,../../output/MediumBottle/Medium_50_1399_24,0.03,24.0,1.4,49.995,0.0025,0.0,0.0025
40,../../output/MediumBottle/Medium_50_1399_26,0.03,26.0,1.4,49.995,0.005,0.0,0.005
41,../../output/MediumBottle/Medium_50_1399_28,0.03,28.0,1.4,49.995,0.0025,0.0025,0.0
42,../../output/MediumBottle/Medium_50_1399_30,0.03,30.0,1.4,49.995,0.0,0.0,0.0
43,../../output/MediumBottle/Medium_50_1399_32,0.03,32.0,1.4,49.995,0.0025,0.0,0.0025
44,../../output/MediumBottle/Medium_50_1399_34,0.03,34.0,1.4,49.995,0.0025,0.0,0.0025
45,../../output/MediumBottle/Medium_50_1399_36,0.03,36.0,1.4,49.995,0.0,0.0,0.0
46,../../output/MediumBottle/Medium_50_1399_38,0.03,38.0,1.4,49.995,0.0,0.0,0.0
47,../../output/MediumBottle/Medium_50_1399_40,0.03,40.0,1.4,49.995,0.0,0.0,0.0
48,../../output/MediumBottle/Medium_50_1399_42,0.03,42.0,1.4,49.995,0.0075,0.0025,0.005
49,../../output/MediumBottle/Medium_50_1399_44,0.03,44.0,1.4,49.995,0.0025,0.0,0.0025
50,../../output/MediumBottle/Medium_50_1399_46,0.03,46.0,1.4,49.995,0.0075,0.0075,0.0
51,../../output/MediumBottle/Medium_50_1399_48,0.03,48.0,1.4,49.995,0.0,0.0,0.0
52,../../output/MediumBottle/Medium_50_1399_50,0.03,50.0,1.4,49.995,0.0125,0.005,0.0075
53,../../output/MediumBottle/Medium_50_1399_52,0.03,52.0,1.4,49.995,0.01,0.0025,0.0075
54,../../output/MediumBottle/Medium_50_1399_54,0.03,54.0,1.4,49.995,0.005,0.0025,0.0025
55,../../output/MediumBottle/Medium_50_1399_56,0.03,56.0,1.4,49.995,0.03,0.0025,0.0275
56,../../output/MediumBottle/Medium_50_1399_58,0.03,58.0,1.4,49.995,0.03,0.0025,0.0275
57,../../output/MediumBottle/Medium_50_1399_60,0.03,60.0,1.4,49.995,0.0225,0.005,0.0175
58,../../output/MediumBottle/Medium_50_1399_62,0.03,62.0,1.4,49.995,0.0575,0.0325,0.025
59,../../output/MediumBottle/Medium_50_1399_64,0.03,64.0,1.4,49.995,0.25,0.2175,0.0325
60,../../output/MediumBottle/Medium_50_1399_66,0.03,66.0,1.4,49.995,0.765,0.73,0.035
61,../../output/MediumBottle/Medium_50_1399_68,0.03,68.0,1.4,49.995,1.4775,1.44,0.0375
62,../../output/MediumBottle/Medium_50_1399_70,0.03,70.0,1.4,49.995,2.3,2.265,0.035
63,../../output/MediumBottle/Medium_50_1399_72,0.03,72.0,1.4,49.995,3.0125,2.975,0.0375
64,../../output/MediumBottle/Medium_50_1399_74,0.03,74.0,1.4,49.995,3.5275,3.475,0.0525
65,../../output/MediumBottle/Medium_50_1399_76,0.03,76.0,1.4,49.995,3.975,3.91,0.065
66,../../output/MediumBottle/Medium_50_1399_78,0.03,78.0,1.4,49.995,4.3875,4.3275,0.06
