Short Name;Vessel Volume (in mL);Name;Company
Tube_50mL;55;Corning Self-standing 50 mL Centrifuge Tube;Corning
Tube_15mL;16;Corning® 15mL Centrifuge Tubes;Corning
Pyrex_100mL;115;PYREX® Griffin Low Form 100 mL Beaker, Graduated;Corning
StorageBottle_250mL;359;Corning® 250 mL Easy Grip Polystyrene Storage Bottles with 45 mm Caps;Corning
StorageBottle_500mL;682;Corning® 500 mL Easy Grip Polystyrene Storage Bottles with 45 mm Caps;Corning
Duran_500mL;594;DURAN GL 45 Blue Laboratory Bottle With Screw Cap and Pouring Ring 500 mL;Duran
Duran_250mL;302;DURAN GL 45 Blue Laboratory Bottle With Screw Cap and Pouring Ring 250 mL;Duran
Cell_Flask_160mL;268;T75 EasYFlask;ThermoFisher
Cell_Flask_400mL;647;T175 EasYFlask;ThermoFisher
Duran_100mL;125;DURAN GL 45 Blue Laboratory Bottle With Screw Cap and Pouring Ring 100 mL;Duran
Gibco_125mL;180;Gibco™ Bottle, 100 mL;ThermoFisher
Gibco_500mL;755;Gibco™ Bottle, 500 mL;ThermoFisher
